"topic"	"V1"	"V2"	"context"
"motor/noun/ad19990104/8228"	-17.2770899517479	-5.89703429771869	"" De auto staat , de <font color=red><b>motor</b></font> loopt en nu moet ' ie gaan rijden . ""
"motor/noun/ad19990108/43946"	2.39637595467952	2.00016181278553	"" Hij is verdwaald , heeft zonder benzine gestaan , heeft een tijd zonder licht door de woestijn gereden en heeft zijn <font color=red><b>motor</b></font> aan barrels gereden in een gat ."
"motor/noun/ad19990114/62912"	0.859774812090662	1.33379988569732	"Als mijn <font color=red><b>motor</b></font> het niet begeven had , had ik nu nog gereden , daarvan ben ik overtuigd ."
"motor/noun/ad19990114/74559"	-3.45257940345602	21.695378953928	"De <font color=red><b>motor</b></font> sputtert even en komt dan brullend tot leven ."
"motor/noun/ad19990115/814"	-18.5547264758962	-27.3375258044159	"Ze vluchtten per <font color=red><b>motor</b></font> , waarbij de klant mee moest ."
"motor/noun/ad19990118/1191"	-32.0558032919857	8.53158655218222	"Drie etappes werden geneutraliseerd voor de <font color=red><b>motoren</b></font> , omdat er teveel deelnemers afvielen ."
"motor/noun/ad19990118/1204"	38.2392486965787	6.95509255745521	"Van de 160 <font color=red><b>motoren</b></font> , 87 auto's en 29 trucks die op oudjaarsdag in Granada de proloog reden , kwamen er respectievelijk 54 , 40 en 16 aan ."
"motor/noun/ad19990123/2654"	1.45826686233138	-24.1206692867457	"Minister Maij-Weggen vertelde dat het toestel één <font color=red><b>motor</b></font> was kwijtgeraakt en gaf ons een kaartje van de gevlogen route ."
"motor/noun/ad19990125/7498"	39.7582405010495	1.90885703624372	"De <font color=red><b>motor</b></font> sloeg aan en de vrachtwagen , die nog in de versnelling stond , begon te rijden ."
"motor/noun/ad19990130/2836"	-19.5670226694183	-44.1948422518669	"" De auto krijgt een betere stationaire <font color=red><b>motor</b></font> ."
"motor/noun/ad19990130/4724"	43.9734642303845	-25.5992957290802	"Er is keus uit een 2,4 liter viercilinder en een 3,4 liter V6 <font color=red><b>motor</b></font> ."
"motor/noun/ad19990130/7687"	19.992161022006	-15.503921437186	"De Amerikanen worden op hun wenken bediend met overmaatse automobielen overgoten met chroome en met bizarre vormen en krachtige <font color=red><b>motoren</b></font> ."
"motor/noun/ad19990202/3088"	-2.91536254638432	0.534438232154787	"De laatste won met een cartoon over Schiphol : de piloot van een landende luchtreus zegt tegen zijn maat : " We zetten nu de <font color=red><b>motoren</b></font> uit !"
"motor/noun/ad19990420/16743"	-13.7019747462203	-24.5704730707562	"Van de daders ontbreekt elk spoor , maar getuigen zagen direct na de ontploffing twee mannen op <font color=red><b>motoren</b></font> weg rijden bij de moskee ."
