	label	LeNC44.L1LLRx5.x	LeNC44.L1LLRx5.y	LeNC77.L1LLR.x	LeNC77.L1LLR.y	LeNC44.L1LLR.x	LeNC44.L1LLR.y	LeNC77.L1LLRx5.x	LeNC77.L1LLRx5.y	LeNC44.ppmi.x	LeNC44.ppmi.y	LeNC77.ppmi.x	LeNC77.ppmi.y	text
match/noun/BL_19990126_01/30218	a	-3.58979926923	4.11311904363	-2.40741595524	-0.336035538998	1.20241639001	4.71951588288	2.26104949095	-1.32806941011	-0.460245521928	1.32533607609	-0.196815466076	-0.587323903662	"Tijdens de <font color=""red"">match</font> tegen Germinal Ekeren heeft STVV zaterdag voor het eerst de jongerenstewards ingezet ."
match/noun/BL_19990517_01/72307	a	0.521180466647	-3.22691038576	1.44444186881	2.12041147489	-2.87883983203	-0.424158998705	0.0094710134707	2.14289333622	3.74413771457	-0.316850836745	2.60649544619	0.707650062196	"Ook al is er tijdens de <font color=""red"">match</font> vrijwel niemand in de zaak en ook al zouden ze Harelbeke-Genk graag via het reuzescherm volgen , toch sluiten Brigitte en Michel de deuren niet ."
match/noun/BL_20000421_01/54468	a	2.77648771593	-0.498592783456	2.24669042347	0.702007791502	0.352999349037	-1.86599408064	-0.679766059115	1.01298639919	1.56925996011	-0.69378920831	1.55645721982	0.646291705618	"Het komt er op aan dat iedereen morgen in Lommel beseft dat deze partij even belangrijk is dan de vorige 31 <font color=""red"">matchen</font> samen ."
match/noun/BL_20000513_01/83743	a	-0.279447640222	0.413354270135	-0.152621750091	0.714255411214	0.177910468176	1.16610449653	0.947523330837	0.462666283897	0.851240727616	1.38916898712	0.142815466327	-0.168071821228	""" Na de <font color=""red"">match</font> Standard-Genk die eindigde op 5-0 hebben een vijftal Racing-supporters zich bij ons aangesloten , "" zegt voorzitter Goessens ."
match/noun/BL_20001120_01/62831	a	-1.47686556725	-0.58578398865	-1.2719057831	1.61780402934	-1.19965839603	1.90551718818	2.09642001505	1.04061611678	1.41521203338	1.11373683855	0.677319021055	-0.384447392304	"Popi werd daarbij aangemoedigd door een 60-tal Tsjechen die over-en-weer de <font color=""red"">match</font> volgden en meteen na afloop weer in de wagen doken ."
match/noun/BL_20010324_01/48301	a	-6.63385270423	-3.95049338902	0.827150855063	4.62687198913	-5.1926215306	3.80482110229	-2.06029241054	-2.29128796489	-3.69013024658	-12.7328484267	-6.3341148001	-1.91744359143	"De gestaakte match Habo-Vechmaal <font color=""red"">van</font> 18 januari wordt niet herspeeld ."
match/noun/BL_20021123_01/44547	a	0.323805405487	6.69952366827	-0.818434907428	-2.32030669365	4.98125617654	3.34530059688	0.541422163372	-2.20038208628	-1.2261263394	0.960318900789	-0.459925556185	0.415898846736	"TTC Hasselt moet zijn <font color=""red"">match</font> tegen Kobelco Auderghem , die het met 4-3 won , na een klacht van de bezoekers en op last van de nationale competitiecommissie herspelen op zondag 1 december ."
match/noun/BL_20021125_01/44948	a	-2.35973891237	3.02783701461	-1.78786741718	0.278957488141	0.364815268154	3.55591386014	1.86062003155	-0.88038710909	-2.27859867241	-0.392735089987	0.45483654628	-1.56649816458	"Thys out - Verdediger Jos Thys had vrij vroeg in de <font color=""red"">match</font> tegen Melo ( 2C ) last van de lies en houdt aan dit optreden een verrekking over ."
match/noun/BL_20030114_01/14251	a	-0.124020917869	1.06451916603	0.672047714238	0.480685987991	0.760099574859	1.15876806997	0.158815561107	0.486247528743	0.197411737254	0.170727396198	0.664487549464	0.192781249389	"Je moet daarin realist zijn ; als Dagano zich de rest van de week goed inzet , komt hij zeker in aanmerking voor de <font color=""red"">match</font> tegen Lokeren ."
match/noun/BL_20030123_01/22097	a	-0.412034222643	0.463193742601	0.796938690603	0.409866801298	0.137928646003	1.15736619155	0.179462091132	0.542456172733	0.630712374949	0.872585555556	0.25442344371	0.558262314642	"En daar was de <font color=""red"">match</font> van begin deze maand op de Hopman Cup niet eens bijgerekend ."
match/noun/BL_20030407_01/45826	a	5.50364301645	2.08341450997	3.07936552927	-0.503631724748	3.2082554365	-2.93449101866	-1.75394665287	0.579921099923	0.577355741979	-0.292534913189	0.907828338265	0.790486662081	""" Hoe dan ook , het is spijtig dat we deze <font color=""red"">match</font> uiteindelijk nog verliezen ."
match/noun/BL_20031030_01/29674	a	0.436192052745	1.92069585251	0.329669240446	-0.893825191751	1.62486746053	1.3837682665	0.534738763556	0.385940187348	-3.56768051695	0.47516978697	-0.688187056909	-1.68748933682	"De Breeënaars hebben nog wel een <font color=""red"">match</font> tegoed , zij kregen uitstel tegen New Halma , omdat Serge Das en Wendy Jans een reis van 35 uren uit China ( WK ) in de kleren hadden ."
match/noun/BL_20040119_01/13754	a	0.295661020441	3.16092903229	-0.0545083561246	-0.917528228159	2.5338920802	1.12876529394	0.326654574715	-0.743100171926	-1.09265212034	0.358639240558	-0.371981323726	0.348573841293	"De Condé werd de man van de <font color=""red"">match</font> ."
match/noun/BL_20040428_01/30068	a	-4.45495606971	3.36077883086	-2.95105214286	-0.437766811859	0.857334969484	5.16332107537	3.06613237146	-1.11373523954	-1.21763301775	1.74258662075	-0.858643994999	0.122589175966	"Ze wonnen de beslissende <font color=""red"">match</font> tegen Kermt-Hasselt met 6-2 ."
match/noun/BL_20040626_01/31578	a	3.65466571135	2.765280414	2.63430924875	0.367428349486	1.60464922457	-2.38443590971	-1.15943697495	1.82450561738	2.28718509355	0.82910613568	1.39645772557	0.186529493543	"3""Lleyton schudde mij na de <font color=""red"">match</font> de hand ."
