token	label	LeNC44.L1LLRx5.x	LeNC44.L1LLRx5.y	LeNC77.L1LLR.x	LeNC77.L1LLR.y	LeNC44.L1LLR.x	LeNC44.L1LLR.y	LeNC77.L1LLRx5.x	LeNC77.L1LLRx5.y	LeNC44.ppmi.x	LeNC44.ppmi.y	LeNC77.ppmi.x	LeNC77.ppmi.y	text
varken/noun/BL_19990817_01/5181	a	-2.19414644617	-1.73336847592	4.83142457554	2.02836408414	-1.58163538296	4.25762917965	-0.220506365458	-2.14897102362	3.92732322737	-2.04006468835	-1.72868554398	-0.936467263296	"Ik heb in geen veertien dagen een <font color=""red"">varken</font> verkocht ."
varken/noun/nrc20010328/5388	a	-0.963162996286	6.96217558639	-0.757626430598	-8.59426092353	-3.06204006366	-6.44350037407	5.85630413505	1.81168163832	-2.48181968356	-1.28659147233	3.33886849112	-0.714479547104	"De biologische melkveehouderij zou een aandeel tussen de 15 en 20 procent kunnen halen , de akkerbouw 15 procent en de overige veehouderij ( zoals <font color=""red"">varkens</font> en kippen ) 10 tot 15 procent ."
varken/noun/nrc20010329/61203	a	1.26657572771	4.0240258099	0.212466880376	-4.51656461866	-0.884137720639	-3.05330056232	2.56494769676	2.57452608188	-1.84004521327	0.624662302345	1.96207591943	-1.29739784328	"Dat aantal liep later door onverkoopbare <font color=""red"">varkens</font> en met de opkoopregelingen op tot twaalf miljoen varkens ."
varken/noun/nrc20010330/76475	a	-3.36231011841	7.47193081571	-2.07997513211	-9.7979953357	-4.73803139333	-7.99578349717	6.43615189041	0.18762307163	-2.35686226234	-0.796150993623	2.84032258122	-0.121645408773	"Maar het is nu eenmaal zo dat koeien , <font color=""red"">varkens</font> , schapen , geiten , herten , reeën , wilde zwijnen en kamelen erg vatbaar zijn voor het virus ."
varken/noun/nrc20010331/29577	a	-2.88801588637	0.120402849958	4.91862702267	-0.327978366163	-2.58375469812	2.29651441901	1.20811532547	-2.12174170841	0.606789700675	5.38466747881	2.28412958817	4.18424938982	"Een <font color=""red"">varken</font> wil wroeten , modderbaden en ook liefst in familieverband leven ."
varken/noun/nrc20010522/23912	a	-0.225541144508	6.48019350676	-0.588790265361	-7.74429445665	-2.07264604081	-6.03490760212	5.2791350431	1.75178595846	-1.60006462873	-0.223654814958	1.86211489555	-0.499078726719	"Grote bedrijven zoals Nutreco ( kippen en <font color=""red"">varkens</font> ) en Dumeco ( varkens ) anticiperen op de krimp van de veestapel en hebben een deel van hun activiteiten al verplaatst naar landen als Spanje en Hongarije ."
varken/noun/nrc20010928/14219	a	0.29642341898	-1.18021211851	1.84252373457	2.7579519767	1.39802857524	2.20073862427	-1.10305670831	0.528365486433	5.10427631022	-1.90858889813	-1.19982552691	4.5551323742	"Het gezin verliest niet alleen de veestapel , Anne raakt ook haar twee lievelingsdieren kwijt , de <font color=""red"">varkens</font> Willy en Rene ."
varken/noun/nrc20011117/15839	a	-1.1253681829	1.00554234176	1.9790115523	-0.491857292209	-1.53223210698	0.685930077936	1.30818308285	-0.433077596291	-0.488840853408	0.649668918088	1.62428456809	0.755847658369	"De flats staan midden in de weiden waar wat vee graast en <font color=""red"">varkens</font> rondrennen ."
varken/noun/nrc20011222/73131	a	-2.49975284778	3.33743000896	2.58198871557	-5.65483705238	-3.60624975199	-1.83471069849	3.83851942379	0.377368999698	-2.07024228039	-0.0628558493044	2.40712151286	-0.567348259058	"Nee , als ik <font color=""red"">varkens</font> in een hok zie , veel te veel varkens in een veel te klein hok , denk ik niet : die hebben meer rechten nodig , maar : die hebben meer ruimte nodig ."
varken/noun/nrc20020121/45607	a	5.50250515032	-4.56494086955	1.97244610125	10.6973221993	7.60405597375	4.69956944567	-5.11197297592	2.73326862975	5.4266576164	1.6895575144	-3.50353916024	1.92627806327	"Linda Olthof is genomineerd voor de Colombine ( beste vrouwelijke bijrol ) voor haar rol als <font color=""red"">varken</font> in Varkens/Boeren van ZT Hollandia ."
varken/noun/nrc20020601/163699	a	-0.302801371064	2.74727207089	-0.46382655789	-2.8579357162	-0.828793049532	-1.9789397179	2.52560402063	0.920893264076	-0.739067399945	-0.122984144779	1.4603336792	0.0339180991236	"Toch is het <font color=""red"">varken</font> een praktisch dier ."
varken/noun/nrc20020815/36406	a	1.04522525719	2.74199666817	-2.77102769502	-1.72650419911	0.426447298658	-2.01282506447	2.26680813716	1.82428356183	-2.5636756401	-1.69955603296	3.73908642509	0.0207716210504	"Amerikaanse en Duitse onderzoekers hebben stukjes zaadbal van pasgeboren muizen , geiten en <font color=""red"">varkens</font> onder de rughuid van gecastreerde muizen getransplanteerd ."
varken/noun/nrc20020823/75802	a	-1.38163425203	0.0152803812007	2.49880617702	0.532266497447	-1.53193983238	2.54956432546	0.656628895504	-0.976261466022	-0.252963077996	0.980975709516	1.34371628661	1.81259457551	"De chirurgijn met zijn wetenschappelijke ambities wordt opgegeten door zijn eigen <font color=""red"">varken</font> , duikt weer op als een ontzagwekkende hoop onwelriekende stront , wordt weggemoffeld door Gould in een vat met schedels van Aboriginals , en eindigt tenslotte als MH-36 in het wetenschappelijke boekwerk Craniae Tasmaniae , het onomstotelijke bewijs voor de gedegenereerdheid van het ras van de Aboriginals ."
varken/noun/nrc20010123/35951	a	3.32607560127	-3.09176564482	-1.69155190396	6.67511475522	5.54958840603	2.7372506952	-3.18870450233	1.41138806607	2.86979364376	1.37471905319	-1.38616847737	1.09058046285	"De middelen - die het vetmesten van <font color=""red"">varkens</font> versnellen - kunnen volgens voorzitter Axel Stoltenhoff van de Beierse organisatie van veeartsen bij mensen die vlees van de behandelde dieren eten , kanker veroorzaken ."
varken/noun/nrc20031128/463264	a	0.669945865707	-2.19751583077	2.76218935676	3.93603772952	2.07230920446	4.15206549578	-1.32740760877	-0.206833305754	2.70033569664	0.769555547986	-0.892661188334	1.70006865188	"De <font color=""red"">varkens</font> van haar geboortedorp heeft ze definitief achter zich gelaten ."
varken/noun/parool19990330/46556	a	1.95848111522	-2.54043310672	0.326127558667	4.7432208005	3.41604932904	3.14107566014	-2.06032096137	0.547010634877	3.59969677601	2.09300514884	-2.15726029379	0.466526305811	"Het exportverbod voor Nederlandse <font color=""red"">varkens</font> naar Spanje is met ingang van gisteren opgeheven ."
varken/noun/parool19991115/8891	a	0.903858031605	-1.79197981027	1.29111816158	3.48410474906	2.13968577574	2.98075699241	-1.08949270507	0.13555110168	2.27275218477	3.52289519046	1.1437974381	3.42301418047	"Zo dom als het achtereind van een <font color=""red"">varken</font> dat met zijn neus in de geurige truffels staat te wroeten ."
varken/noun/parool20000321/48104	a	0.700601220701	-2.66708944841	2.19886746832	4.14823846806	2.16359909497	4.05736797824	-1.41314064974	-0.610545665028	3.69863497074	2.64427741915	-1.86741411368	1.10082750246	"Maar als je bedenkt dat Dotcoms moeder Destiny heet , weet je dat haar lot dat van alle <font color=""red"">varkens</font> zal zijn ."
varken/noun/parool20000422/1698	a	4.86224072017	4.06262544991	8.03789665453	-2.9414896434	-5.28256476862	1.10707677517	0.564753388195	5.97018729511	2.89285129054	-0.57294826505	-1.0297172247	8.05232208166	"En twijfels aan Mugabes geestelijke vermogens werden gewekt door zijn uitvallen tegen homoseksuelen ( ' erger dan <font color=""red"">varkens</font> ' ) en ' Blair en zijn gay gangsters ' ."
varken/noun/parool20000531/48022	a	7.26074881394	-0.94211827946	-8.578685611	3.94974096829	8.59441871686	-1.89943479996	-1.70121154734	5.44781608729	-1.45807405356	4.77903111757	2.75236568567	3.38754147687	"Het "" sucken en blowen "" ( haar woorden ) op dode <font color=""red"">varkens</font> hoort daarbij ."
varken/noun/parool20000728/4201	a	1.53437571147	-3.88401325965	-1.23782013614	5.62434706538	5.00453091308	2.78082200513	-2.55852024114	1.92899963516	4.7565793692	3.85291147881	-2.7857693004	0.887015382569	""" Ik had vandaag honderd varkens willen exporteren , maar dat mag niet , "" zegt W. van Gemert , die al dertig jaar <font color=""red"">varkens</font> houdt in het Brabantse Helvoirt ."
varken/noun/parool20000810/14986	a	2.18591880206	2.27633845473	-2.5776010016	-0.455296659993	1.82177874905	-2.35343842276	1.30515231002	2.01470346624	-0.0847110574066	0.844262168462	0.616474671327	-0.117489488788	"Ook alle bedrijven die vanaf woensdag <font color=""red"">varkens</font> uit Groot-Brittannië hebben geimporteerd , worden onderzocht ."
varken/noun/parool20001227/1041	a	0.0396296542095	-3.72359477167	2.45629985348	5.33127018381	3.13320629792	4.90692813123	-2.31816388017	-0.827437243184	3.86768407077	0.676108373889	-3.10136515251	3.93411260758	"Een <font color=""red"">varken</font> op het balkon ?"
varken/noun/parool20010413/43012	a	-2.99571521797	-0.615729711336	4.49463595509	1.15134606106	-2.74405311118	2.53850622756	0.232200046133	-2.42031855045	6.77164944183	-2.06124161331	-1.99510027065	4.62880616369	"Tot voor kort was ik nog vaste klant bij de slager , in het volle besef dat koeien van die aandoenlijk gekrulde , schuchtere wimpers hebben , en dat <font color=""red"">varkens</font> razend intelligent zijn , maar dat ze evengoed allemaal in het abattoir eindigen ."
varken/noun/parool20010817/30552	a	-1.64860249705	5.98007193704	-1.11449085657	-7.2728685989	-2.89889715698	-5.72089571307	5.02311458624	1.14537417915	-2.96919571225	-0.343182354418	2.78593248312	-1.08026154625	"Sindsdien zijn muizen , geiten , <font color=""red"">varkens</font> en runderen gekloond , met inmiddels wat meer succes ."
